source,target,value
Jiangsu,Shanghai,1503522
Zhejiang,Shanghai,450506
Anhui,Shanghai,2602273
Henan,Shanghai,782553
Sichuan,Shanghai,624465
Jiangxi,Shanghai,487192
Shanghai,Anhui,20773
Jiangsu,Anhui,114421
Zhejiang,Anhui,61431
Henan,Anhui,96612
Sichuan,Anhui,43819
Jiangxi,Anhui,39952
Shanghai,Jiangsu,82612
Anhui,Jiangsu,2574625
Zhejiang,Jiangsu,268489
Henan,Jiangsu,1016424
Sichuan,Jiangsu,650575
Jiangxi,Jiangsu,264814
Shanghai,Zhejiang,38525
Anhui,Zhejiang,2285198
Jiangsu,Zhejiang,341618
Henan,Zhejiang,1224230
Sichuan,Zhejiang,1240580
Jiangxi,Zhejiang,1529896
Shanghai,Henan,3670
Anhui,Henan,61209
Jiangsu,Henan,31668
Zhejiang,Henan,33679
Sichuan,Henan,39356
Jiangxi,Henan,19261
Shanghai,Sichuan,6340
Anhui,Sichuan,27330
Jiangsu,Sichuan,30802
Zhejiang,Sichuan,48723
Henan,Sichuan,59436
Jiangxi,Sichuan,32048
Shanghai,Jiangxi,8354
Anhui,Jiangxi,51294
Jiangsu,Jiangxi,25673
Zhejiang,Jiangxi,47102
Henan,Jiangxi,40997
Sichuan,Jiangxi,34524